dataset,source,title,author,url,text,word_count
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"Its forms of expression (Greek [Greek: ideai]) are these: groundplan, elevation, and perspective. A groundplan is made by the proper successive use of compasses and rule, through which we get outlines for the plane surfaces of buildings.",37
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"An elevation is a picture of the front of a building, set upright and properly drawn in the proportions of the contemplated work. Thus in the human body there is a kind of symmetrical harmony between forearm, foot, palm, finger, and other small parts; and so it is with perfect buildings.",51
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"In the case of temples, symmetry may be calculated from the thickness of a column, from a triglyph, or even from a module; in the ballista, from the hole or from what the Greeks call the [Greek: peritretos]; in a ship, from the space between the tholepins [Greek: (diapegma)]; and in other things, from various members. From prescription, in the case of hypaethral edifices, open to the sky, in honour of Jupiter Lightning, the Heaven, the Sun, or the Moon: for these are gods whose semblances and manifestations we behold before our very eyes in the sky when it is cloudless and bright.",103
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"The temples of Minerva, Mars, and Hercules, will be Doric, since the virile strength of these gods makes daintiness entirely inappropriate to their houses. In temples to Venus, Flora, Proserpine, Spring-Water, and the Nymphs, the Corinthian order will be found to have peculiar significance, because these are delicate divinities and so its rather slender outlines, its flowers, leaves, and ornamental volutes will lend propriety where it is due.",68
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"The construction of temples of the Ionic order to Juno, Diana, Father Bacchus, and the other gods of that kind, will be in keeping with the middle position which they hold; for the building of such will be an appropriate combination of the severity of the Doric and the delicacy of the Corinthian. Propriety arises from usage when buildings having magnificent interiors are provided with elegant entrance-courts to correspond; for there will be no propriety in the spectacle of an elegant interior approached by a low, mean entrance.",88
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"Or, if dentils be carved in the cornice of the Doric entablature or triglyphs represented in the Ionic entablature over the cushion-shaped capitals of the columns, the effect will be spoilt by the transfer of the peculiarities of the one order of building to the other, the usage in each class having been fixed long ago. There will also be natural propriety in using an eastern light for bedrooms and libraries, a western light in winter for baths and winter apartments, and a northern light for picture galleries and other places in which a steady light is needed; for that quarter of the sky grows neither light nor dark with the course of the sun, but remains steady and unshifting all day long.",123
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"This will be observed if, in the first place, the architect does not demand things which cannot be found or made ready without great expense. A second stage in Economy is reached when we have to plan the different kinds of dwellings suitable for ordinary householders, for great wealth, or for the high position of the statesman.",57
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"A house in town obviously calls for one form of construction; that into which stream the products of country estates requires another; this will not be the same in the case of money-lenders and still different for the opulent and luxurious; for the powers under whose deliberations the commonwealth is guided dwellings are to be provided according to their special needs: and, in a word, the proper form of economy must be observed in building houses for each and every class. There are three departments of architecture: the art of building, the making of timepieces, and the construction of machinery.",100
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"Building is, in its turn, divided into two parts, of which the first is the construction of fortified towns and of works for general use in public places, and the second is the putting up of structures for private individuals. There are three classes of public buildings: the first for defensive, the second for religious, and the third for utilitarian purposes.",61
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"Under defence comes the planning of walls, towers, and gates, permanent devices for resistance against hostile attacks; under religion, the erection of fanes and temples to the immortal gods; under utility, the provision of meeting places for public use, such as harbours, markets, colonnades, baths, theatres, promenades, and all other similar arrangements in public places. Durability will be assured when foundations are carried down to the solid ground and materials wisely and liberally selected; convenience, when the arrangement of the apartments is faultless and presents no hindrance to use, and when each class of building is assigned to its suitable and appropriate exposure; and beauty, when the appearance of the work is pleasing and in good taste, and when its members are in due proportion according to correct principles of symmetry.",131
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"For instance, nobody draws the light for covered wine rooms from the south or west, but rather from the north, since that quarter is never subject to change but is always constant and unshifting. We see this in the case of iron which, however hard it may naturally be, yet when heated thoroughly in a furnace fire can be easily worked into any kind of shape, and still, if cooled while it is soft and white hot, it hardens again with a mere dip into cold water and takes on its former quality.",93
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"This defect may be due to violent heat from certain quarters of the sky, pouring into the open pores in too great proportion to admit of a mixture suited to the natural temperament of the body in question. Again, if too much moisture enters the channels of a body, and thus introduces disproportion, the other elements, adulterated by the liquid, are impaired, and the virtues of the mixture dissolved.",69
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"In the same way, increase or diminution of the proportion of air or of the earthy which is natural to the body may enfeeble the other elements; the predominance of the earthy being due to overmuch food, that of air to a heavy atmosphere. One form of mixture is proper to birds, another to fishes, and a far different form to land animals.",63
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"Being made up, therefore, of the lighter elements, they can more readily soar away into the air. Therefore, if all this is as we have explained, our reason showing us that the bodies of animals are made up of the elements, and these bodies, as we believe, giving way and breaking up as a result of excess or deficiency in this or that element, we cannot but believe that we must take great care to select a very temperate climate for the site of our city, since healthfulness is, as we have said, the first requisite.",96
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"If the walled town is built among the marshes themselves, provided they are by the sea, with a northern or north-eastern exposure, and are above the level of the seashore, the site will be reasonable enough. Year after year there was sickness, until finally the suffering inhabitants came with a public petition to Marcus Hostilius and got him to agree to seek and find them a proper place to which to remove their city.",74
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"He constructed the walls and laid out the house lots, granting one to each citizen for a mere trifle. After insuring on these principles the healthfulness of the future city, and selecting a neighbourhood that can supply plenty of food stuffs to maintain the community, with good roads or else convenient rivers or seaports affording easy means of transport to the city, the next thing to do is to lay the foundations for the towers and walls.",77
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"They should be much thicker than the part of the walls that will appear above ground, and their structure should be as solid as it can possibly be laid. The towers must be projected beyond the line of wall, so that an enemy wishing to approach the wall to carry it by assault may be exposed to the fire of missiles on his open flank from the towers on his right and left.",73
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"Special pains should be taken that there be no easy avenue by which to storm the wall. The roads should be encompassed at steep points, and planned so as to approach the gates, not in a straight line, but from the right to the left; for as a result of this, the right hand side of the assailants, unprotected by their shields, will be next the wall.",67
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"Towns should be laid out not as an exact square nor with salient angles, but in circular form, to give a view of the enemy from many points. The thickness of the wall should, in my opinion, be such that armed men meeting on top of it may pass one another without interference.",53
architecture_treatise_text,Project Gutenberg,The Ten Books on Architecture,Vitruvius Pollio,https://www.gutenberg.org/files/20239/20239.txt,"In the thickness there should be set a very close succession of ties made of charred olive wood, binding the two faces of the wall together like pins, to give it lasting endurance. And so not only city walls but substructures in general and all walls that require a thickness like that of a city wall, will be long in falling to decay if tied in this manner.",68
